instance_id,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-n5-mem-low-corr-high-seed-0,0,5,low,0.35,8,22,2.75,high,1,4,False,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[-1, -2, -2, 1, -2]","[4, 3, 2, 6, 2]",unsolvable,False,ENHSP default,60.0,0.526997,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-low-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-low-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-low-corr-high-seed-0.txt,
rover-n5-mem-medium-corr-low-seed-0,0,5,medium,0.6,14,22,1.571429,low,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[4, 3, 3, 5, 3]","[9, 8, 7, 10, 7]",solved,True,ENHSP default,60.0,0.464228,0,55,16.0,16.0,34,24,5,5,5,16.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-medium-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-medium-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-medium-corr-low-seed-0.txt,
rover-n5-mem-medium-corr-medium-seed-0,0,5,medium,0.6,14,22,1.571429,medium,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[2, 1, 1, 3, 1]","[7, 6, 5, 8, 5]",solved,True,ENHSP default,60.0,0.472682,0,56,15.0,15.0,36,26,5,5,5,15.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-medium-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-medium-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-medium-corr-medium-seed-0.txt,
rover-n5-mem-medium-corr-high-seed-0,0,5,medium,0.6,14,22,1.571429,high,1,4,False,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[-1, -2, -2, 1, -2]","[4, 3, 2, 6, 2]",unsolvable,False,ENHSP default,60.0,0.617761,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-medium-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-medium-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-medium-corr-high-seed-0.txt,
rover-n5-mem-high-corr-low-seed-0,0,5,high,1.0,22,22,1.0,low,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[4, 3, 3, 5, 3]","[9, 8, 7, 10, 7]",solved,True,ENHSP default,60.0,0.452858,0,51,14.0,14.0,32,22,5,5,5,14.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-high-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-high-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-high-corr-low-seed-0.txt,
rover-n5-mem-high-corr-medium-seed-0,0,5,high,1.0,22,22,1.0,medium,5,0,True,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[2, 1, 1, 3, 1]","[7, 6, 5, 8, 5]",solved,True,ENHSP default,60.0,0.456912,0,50,13.0,13.0,32,22,5,5,6,13.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-high-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-high-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-high-corr-medium-seed-0.txt,
rover-n5-mem-high-corr-high-seed-0,0,5,high,1.0,22,22,1.0,high,1,4,False,"[5, 5, 2, 4, 6]","[5, 5, 4, 5, 4]","[-1, -2, -2, 1, -2]","[4, 3, 2, 6, 2]",unsolvable,False,ENHSP default,60.0,0.942558,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-high-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n5-mem-high-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n5-mem-high-corr-high-seed-0.txt,
rover-n7-mem-low-corr-low-seed-0,0,7,low,0.35,12,32,2.666667,low,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[4, 3, 3, 5, 3, 5, 3]","[8, 8, 7, 8, 6, 9, 6]",solved,True,ENHSP default,60.0,0.526934,0,95,28.0,28.0,60,46,7,7,6,28.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-low-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-low-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-low-corr-low-seed-0.txt,
rover-n7-mem-low-corr-medium-seed-0,0,7,low,0.35,12,32,2.666667,medium,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[2, 1, 1, 3, 1, 3, 1]","[6, 6, 5, 6, 4, 7, 4]",solved,True,ENHSP default,60.0,0.499749,0,88,21.0,21.0,60,46,7,7,7,21.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-low-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-low-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-low-corr-medium-seed-0.txt,
rover-n7-mem-low-corr-high-seed-0,0,7,low,0.35,12,32,2.666667,high,2,5,False,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[-1, -2, -2, 1, -2, 1, -2]","[3, 3, 2, 4, 1, 5, 1]",unsolvable,False,ENHSP default,60.0,1.079662,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-low-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-low-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-low-corr-high-seed-0.txt,
rover-n7-mem-medium-corr-low-seed-0,0,7,medium,0.6,20,32,1.6,low,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[4, 3, 3, 5, 3, 5, 3]","[8, 8, 7, 8, 6, 9, 6]",solved,True,ENHSP default,60.0,0.511232,0,83,18.0,18.0,58,44,7,7,6,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-medium-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-medium-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-medium-corr-low-seed-0.txt,
rover-n7-mem-medium-corr-medium-seed-0,0,7,medium,0.6,20,32,1.6,medium,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[2, 1, 1, 3, 1, 3, 1]","[6, 6, 5, 6, 4, 7, 4]",solved,True,ENHSP default,60.0,0.497368,0,80,15.0,15.0,58,44,7,7,4,15.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-medium-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-medium-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-medium-corr-medium-seed-0.txt,
rover-n7-mem-medium-corr-high-seed-0,0,7,medium,0.6,20,32,1.6,high,2,5,False,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[-1, -2, -2, 1, -2, 1, -2]","[3, 3, 2, 4, 1, 5, 1]",unsolvable,False,ENHSP default,60.0,2.595562,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-medium-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-medium-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-medium-corr-high-seed-0.txt,
rover-n7-mem-high-corr-low-seed-0,0,7,high,1.0,32,32,1.0,low,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[4, 3, 3, 5, 3, 5, 3]","[8, 8, 7, 8, 6, 9, 6]",solved,True,ENHSP default,60.0,0.523119,0,72,13.0,13.0,52,38,7,7,5,13.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-high-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-high-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-high-corr-low-seed-0.txt,
rover-n7-mem-high-corr-medium-seed-0,0,7,high,1.0,32,32,1.0,medium,7,0,True,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[2, 1, 1, 3, 1, 3, 1]","[6, 6, 5, 6, 4, 7, 4]",solved,True,ENHSP default,60.0,0.507494,0,71,12.0,12.0,52,38,7,7,5,12.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-high-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-high-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-high-corr-medium-seed-0.txt,
rover-n7-mem-high-corr-high-seed-0,0,7,high,1.0,32,32,1.0,high,2,5,False,"[5, 5, 2, 4, 6, 5, 5]","[4, 5, 4, 3, 3, 4, 3]","[-1, -2, -2, 1, -2, 1, -2]","[3, 3, 2, 4, 1, 5, 1]",unsolvable,False,ENHSP default,60.0,4.870625,0,,,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-high-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-n7-mem-high-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-n7-mem-high-corr-high-seed-0.txt,
