instance_id,model,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,travel_time_per_edge,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,estimated_travel_time,stationary_time,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-timed-n3-mem-medium-corr-medium-seed-2,timed,2,3,medium,0.6,4,6,1.5,2.0,medium,1,2,False,"[2, 2, 2]","[4, 3, 4]","[2.0, -1.0, -1.0]","[6.0, 3.0, 5.0]",unsolvable,False,ENHSP default,60.0,0.496545,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-medium-seed-2.txt,
rover-timed-n3-mem-medium-corr-medium-seed-3,timed,3,3,medium,0.6,9,15,1.666667,2.0,medium,3,0,True,"[3, 6, 6]","[3, 4, 5]","[2.0, 1.0, 3.0]","[5.0, 5.0, 9.0]",solved,True,ENHSP default,60.0,0.469129,0,52,23.0,23.0,20.0,3.0,16,10,3,3,12,23.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-3.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-3.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-medium-seed-3.txt,
rover-timed-n3-mem-medium-corr-medium-seed-4,timed,4,3,medium,0.6,6,9,1.5,2.0,medium,3,0,True,"[3, 4, 2]","[5, 5, 3]","[2.0, 1.0, 2.0]","[7.0, 6.0, 8.0]",solved,True,ENHSP default,60.0,0.486065,0,63,30.0,30.0,24.0,6.0,18,12,3,3,15,30.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-4.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-medium-seed-4.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-medium-seed-4.txt,
rover-timed-n3-mem-medium-corr-high-seed-0,timed,0,3,medium,0.6,8,12,1.5,2.0,high,1,2,False,"[5, 5, 2]","[4, 5, 5]","[1.0, -1.0, -1.0]","[5.0, 4.0, 5.0]",unsolvable,False,ENHSP default,60.0,0.463719,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-high-seed-0.txt,
rover-timed-n3-mem-medium-corr-high-seed-1,timed,1,3,medium,0.6,7,11,1.571429,2.0,high,1,2,False,"[3, 6, 2]","[4, 2, 5]","[2.0, -1.0, -1.0]","[6.0, 3.0, 5.0]",unsolvable,False,ENHSP default,60.0,0.482485,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-1.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-1.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-high-seed-1.txt,
rover-timed-n3-mem-medium-corr-high-seed-2,timed,2,3,medium,0.6,4,6,1.5,2.0,high,1,2,False,"[2, 2, 2]","[4, 3, 4]","[1.0, -2.0, -2.0]","[5.0, 2.0, 4.0]",unsolvable,False,ENHSP default,60.0,0.44482,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-high-seed-2.txt,
rover-timed-n3-mem-medium-corr-high-seed-3,timed,3,3,medium,0.6,9,15,1.666667,2.0,high,2,1,False,"[3, 6, 6]","[3, 4, 5]","[1.0, -1.0, 2.0]","[4.0, 3.0, 8.0]",unsolvable,False,ENHSP default,60.0,0.486095,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-3.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-3.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-high-seed-3.txt,
rover-timed-n3-mem-medium-corr-high-seed-4,timed,4,3,medium,0.6,6,9,1.5,2.0,high,2,1,False,"[3, 4, 2]","[5, 5, 3]","[1.0, -1.0, 1.0]","[6.0, 4.0, 7.0]",unsolvable,False,ENHSP default,60.0,0.504268,0,,,,0.0,,0,0,0,0,0,0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-4.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-medium-corr-high-seed-4.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-medium-corr-high-seed-4.txt,
rover-timed-n3-mem-high-corr-low-seed-0,timed,0,3,high,1.0,12,12,1.0,2.0,low,3,0,True,"[5, 5, 2]","[4, 5, 5]","[4.0, 3.0, 3.0]","[8.0, 8.0, 9.0]",solved,True,ENHSP default,60.0,0.482393,0,53,24.0,24.0,20.0,4.0,16,10,3,3,13,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-low-seed-0.txt,
rover-timed-n3-mem-high-corr-low-seed-1,timed,1,3,high,1.0,11,11,1.0,2.0,low,3,0,True,"[3, 6, 2]","[4, 2, 5]","[5.0, 3.0, 3.0]","[9.0, 7.0, 9.0]",solved,True,ENHSP default,60.0,0.48718,0,53,24.0,24.0,20.0,4.0,16,10,3,3,12,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-1.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-1.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-low-seed-1.txt,
rover-timed-n3-mem-high-corr-low-seed-2,timed,2,3,high,1.0,6,6,1.0,2.0,low,3,0,True,"[2, 2, 2]","[4, 3, 4]","[4.0, 2.0, 2.0]","[8.0, 6.0, 8.0]",solved,True,ENHSP default,60.0,0.482683,0,51,22.0,22.0,20.0,2.0,16,10,3,3,12,22.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-low-seed-2.txt,
rover-timed-n3-mem-high-corr-low-seed-3,timed,3,3,high,1.0,15,15,1.0,2.0,low,3,0,True,"[3, 6, 6]","[3, 4, 5]","[4.0, 3.0, 5.0]","[7.0, 7.0, 11.0]",solved,True,ENHSP default,60.0,0.468305,0,53,24.0,24.0,20.0,4.0,16,10,3,3,11,24.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-3.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-3.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-low-seed-3.txt,
rover-timed-n3-mem-high-corr-low-seed-4,timed,4,3,high,1.0,9,9,1.0,2.0,low,3,0,True,"[3, 4, 2]","[5, 5, 3]","[4.0, 3.0, 4.0]","[9.0, 8.0, 10.0]",solved,True,ENHSP default,60.0,0.498031,0,55,26.0,26.0,20.0,6.0,16,10,3,3,13,26.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-4.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/rover-timed-n3-mem-high-corr-low-seed-4.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/rover-timed-n3-mem-high-corr-low-seed-4.txt,
